Name,Code,Code description,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,Device type,Device serial number
43,,,,,,,4.61938393,50.66893950,180.136,Global,0.140,0.181,0.358,0.229,2.074,m,SINGLE,NONE,2026-03-11 11:24:36.2 UTC+01:00,2026-03-11 11:24:41.2 UTC+01:00,26,1.3,1.5,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
44,,,,,,,4.61938202,50.66894495,180.472,Global,0.141,0.180,0.361,0.229,2.074,m,SINGLE,NONE,2026-03-11 11:24:59.8 UTC+01:00,2026-03-11 11:25:04.8 UTC+01:00,26,1.4,1.6,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
45,,,,,,,4.61945449,50.66894000,180.295,Global,0.163,0.197,0.382,0.255,2.074,m,SINGLE,NONE,2026-03-11 11:25:26.4 UTC+01:00,2026-03-11 11:25:31.4 UTC+01:00,26,1.3,1.5,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
46,,,,,,,4.61945229,50.66893993,179.427,Global,0.140,0.176,0.371,0.225,2.074,m,SINGLE,NONE,2026-03-11 11:25:47.0 UTC+01:00,2026-03-11 11:25:52.0 UTC+01:00,26,1.3,1.6,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
47,,,,,,,4.61944976,50.66894912,179.461,Global,0.151,0.181,0.387,0.235,2.074,m,SINGLE,NONE,2026-03-11 11:26:04.6 UTC+01:00,2026-03-11 11:26:09.6 UTC+01:00,26,1.4,1.6,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
48,,,,,,,4.61944746,50.66895678,180.028,Global,0.190,0.190,0.450,0.269,2.074,m,SINGLE,NONE,2026-03-11 11:26:47.0 UTC+01:00,2026-03-11 11:26:52.0 UTC+01:00,26,1.4,1.6,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
49,,,,,,,4.61944512,50.66897916,180.765,Global,0.155,0.162,0.444,0.225,2.074,m,SINGLE,NONE,2026-03-11 11:27:11.0 UTC+01:00,2026-03-11 11:27:16.0 UTC+01:00,26,1.3,1.5,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
50,,,,,,,4.61938895,50.66897777,181.105,Global,0.141,0.141,0.354,0.199,2.074,m,SINGLE,NONE,2026-03-11 11:27:40.2 UTC+01:00,2026-03-11 11:27:45.2 UTC+01:00,26,1.4,1.6,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
51,,,,,,,4.61938105,50.66895332,180.764,Global,0.130,0.160,0.351,0.206,2.074,m,SINGLE,NONE,2026-03-11 11:28:04.6 UTC+01:00,2026-03-11 11:28:09.6 UTC+01:00,26,1.2,1.5,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
52,,,,,,,4.61931540,50.66894801,180.710,Global,0.122,0.157,0.330,0.199,2.074,m,SINGLE,NONE,2026-03-11 11:28:32.6 UTC+01:00,2026-03-11 11:28:37.6 UTC+01:00,26,1.3,1.5,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
53,,,,,,,4.61931255,50.66896879,180.078,Global,0.130,0.151,0.339,0.199,2.074,m,SINGLE,NONE,2026-03-11 11:28:53.2 UTC+01:00,2026-03-11 11:28:58.2 UTC+01:00,26,1.3,1.6,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
54,,,,,,,4.61931096,50.66896989,178.867,Global,0.132,0.153,0.344,0.202,2.074,m,SINGLE,NONE,2026-03-11 11:29:12.6 UTC+01:00,2026-03-11 11:29:17.6 UTC+01:00,26,1.4,1.7,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
55,,,,,,,4.61930739,50.66897858,178.335,Global,0.130,0.148,0.321,0.197,2.074,m,SINGLE,NONE,2026-03-11 11:29:37.0 UTC+01:00,2026-03-11 11:29:42.0 UTC+01:00,26,1.4,1.6,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
56,,,,,,,4.61936254,50.66897989,178.586,Global,0.123,0.131,0.312,0.179,2.074,m,SINGLE,NONE,2026-03-11 11:30:04.0 UTC+01:00,2026-03-11 11:30:09.0 UTC+01:00,26,1.2,1.5,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
57,,,,,,,4.61936094,50.66897379,178.467,Global,0.120,0.130,0.320,0.177,2.074,m,SINGLE,NONE,2026-03-11 11:30:29.0 UTC+01:00,2026-03-11 11:30:29.6 UTC+01:00,4,1.3,1.6,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
58,,,,,,,4.61935986,50.66897477,178.336,Global,0.123,0.135,0.322,0.182,2.074,m,SINGLE,NONE,2026-03-11 11:30:31.8 UTC+01:00,2026-03-11 11:30:36.8 UTC+01:00,26,1.3,1.6,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
59,,,,,,,4.61944000,50.66898038,178.427,Global,0.145,0.140,0.380,0.202,2.074,m,SINGLE,NONE,2026-03-11 11:30:54.8 UTC+01:00,2026-03-11 11:30:59.8 UTC+01:00,26,1.3,1.5,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
60,,,,,,,4.61944917,50.66898748,180.467,Global,0.150,0.155,0.419,0.216,2.074,m,SINGLE,NONE,2026-03-11 11:31:27.0 UTC+01:00,2026-03-11 11:31:32.0 UTC+01:00,26,1.2,1.4,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
61,,,,,,,4.61944146,50.66899116,179.694,Global,0.180,0.185,0.462,0.258,2.074,m,SINGLE,NONE,2026-03-11 11:31:52.0 UTC+01:00,2026-03-11 11:31:57.0 UTC+01:00,26,1.3,1.6,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
