Name;Longitude;Latitude;Ellipsoidal height;Origin;Easting RMS;Northing RMS;Elevation RMS;Lateral RMS;Antenna height;Antenna height units;Solution status;Correction type;Averaging start;Averaging end;Samples;PDOP;GDOP;CS name;Device type;Device serial number
16;4,61916256;50,66890381;190,915;Global;0,007;0,006;0,012;0,009;2,074;m;FIX;NONE;2026-03-11 11:12:33,8 UTC+01:00;2026-03-11 11:12:38,8 UTC+01:00;26;1,1;1,3;Global CS;Reach RS2;824302D372E1EC90
17;4,61921165;50,66890669;190,886;Global;0,005;0,007;0,015;0,009;2,074;m;FIX;NONE;2026-03-11 11:12:58,0 UTC+01:00;2026-03-11 11:13:03,0 UTC+01:00;26;1,2;1,5;Global CS;Reach RS2;824302D372E1EC90
18;4,61925692;50,66890898;190,891;Global;0,006;0,007;0,012;0,009;2,074;m;FIX;NONE;2026-03-11 11:13:19,0 UTC+01:00;2026-03-11 11:13:24,0 UTC+01:00;26;1,1;1,3;Global CS;Reach RS2;824302D372E1EC90
19;4,61928491;50,66892532;190,841;Global;0,005;0,005;0,011;0,008;2,074;m;FIX;NONE;2026-03-11 11:13:39,4 UTC+01:00;2026-03-11 11:13:44,4 UTC+01:00;26;1,2;1,4;Global CS;Reach RS2;824302D372E1EC90
20;4,61923731;50,66892716;190,864;Global;0,005;0,007;0,012;0,008;2,074;m;FIX;NONE;2026-03-11 11:13:59,0 UTC+01:00;2026-03-11 11:14:04,0 UTC+01:00;26;1,2;1,5;Global CS;Reach RS2;824302D372E1EC90
21;4,61919221;50,66892777;190,861;Global;0,006;0,006;0,012;0,008;2,074;m;FIX;NONE;2026-03-11 11:14:18,6 UTC+01:00;2026-03-11 11:14:23,6 UTC+01:00;26;1,1;1,3;Global CS;Reach RS2;824302D372E1EC90
22;4,61917079;50,66894877;190,575;Global;0,007;0,009;0,013;0,011;2,074;m;FIX;NONE;2026-03-11 11:14:42,8 UTC+01:00;2026-03-11 11:14:47,9 UTC+01:00;27;1,2;1,4;Global CS;Reach RS2;824302D372E1EC90
23;4,61921941;50,66895094;190,874;Global;0,006;0,007;0,011;0,009;2,074;m;FIX;NONE;2026-03-11 11:15:04,0 UTC+01:00;2026-03-11 11:15:09,0 UTC+01:00;26;1,2;1,4;Global CS;Reach RS2;824302D372E1EC90
24;4,61926277;50,66895236;190,837;Global;0,008;0,007;0,011;0,01;2,074;m;FIX;NONE;2026-03-11 11:15:27,6 UTC+01:00;2026-03-11 11:15:32,6 UTC+01:00;26;1,1;1,3;Global CS;Reach RS2;824302D372E1EC90
25;4,61927594;50,66897395;190,492;Global;0,006;0,006;0,012;0,009;2,074;m;FIX;NONE;2026-03-11 11:16:07,2 UTC+01:00;2026-03-11 11:16:12,2 UTC+01:00;26;1,1;1,3;Global CS;Reach RS2;824302D372E1EC90
26;4,61923569;50,668974;190,528;Global;0,005;0,006;0,01;0,008;2,074;m;FIX;NONE;2026-03-11 11:16:29,8 UTC+01:00;2026-03-11 11:16:34,8 UTC+01:00;26;1,1;1,2;Global CS;Reach RS2;824302D372E1EC90
27;4,61920024;50,66897899;190,354;Global;0,005;0,009;0,012;0,01;2,074;m;FIX;NONE;2026-03-11 11:16:48,2 UTC+01:00;2026-03-11 11:16:53,2 UTC+01:00;26;1,1;1,3;Global CS;Reach RS2;824302D372E1EC90
28;4,61922684;50,66899856;190,07;Global;0,005;0,008;0,012;0,01;2,074;m;FIX;NONE;2026-03-11 11:17:22,8 UTC+01:00;2026-03-11 11:17:27,8 UTC+01:00;26;1,3;1,6;Global CS;Reach RS2;824302D372E1EC90
